upstream,downstream
50266,25596
50266,47829
50266,202553
52361,52322
55391,7521
55805,9484
55836,45184
55836,55824
55836,132780
55836,137165
55836,142502
55836,147201
59624,2643
59624,2875
60280,21305
60280,59861
60280,60330
60330,21305
60330,43232
60330,59770
60330,59861
62214,12594
62214,208408
63956,133480
64049,45184
64049,55824
64049,55836
64049,132780
64049,137165
64049,142502
64049,147201
135069,18021
135069,24005
136106,24213
136106,38759
136106,137338
138384,10012
138384,23720
138840,132669
196655,51319
198477,205053
199508,49866
263009,61752
265269,263342
266520,271230
267587,268093
267705,271916
